experiment_id,experiment_signature,target_key,target,tp,sl,hurdle,hurdle_source,family,variant,features,folds,auc_cal_mean,auc_cal_median,auc_cal_min,logloss_cal_mean,logloss_cal_median,logloss_cal_min,brier_cal_mean,brier_cal_median,brier_cal_min,top1_realised_mean,top1_realised_median,top1_realised_min,top1_lower_2se_mean,top1_lower_2se_median,top1_lower_2se_min,top3_realised_mean,top3_realised_median,top3_realised_min,top3_lower_2se_mean,top3_lower_2se_median,top3_lower_2se_min,top5_realised_mean,top5_realised_median,top5_realised_min,top5_lower_2se_mean,top5_lower_2se_median,top5_lower_2se_min,top10_realised_mean,top10_realised_median,top10_realised_min,top10_lower_2se_mean,top10_lower_2se_median,top10_lower_2se_min,mean_daily_spearman_mean,mean_daily_spearman_median,mean_daily_spearman_min,top1_all_folds_above_hurdle_point,top1_all_folds_clear_hurdle_2se,mean_auc
3p2__logistic,3ff6f76166307516,3p2,label_tp_before_sl_3p2,0.03,0.02,0.47,simple TP/SL binary-payoff breakeven at 35 bps,logistic,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5291140724045357,0.5255763664176981,0.5128094380936371,0.6647834915057063,0.6697992555604101,0.6445201042423575,0.23604407585562387,0.23841158967418447,0.22637689028680152,0.3722296918767507,0.3976190476190476,0.24941176470588236,0.32572337344956914,0.34985792170610364,0.20743636167509555,0.38083099906629314,0.40078431372549017,0.2807843137254902,0.3537719751512936,0.37333560947537225,0.2556138683803172,0.38028795518207287,0.3943529411764706,0.29458823529411765,0.3592988170484572,0.3731496695549079,0.27481036259959407,0.3863675070028011,0.3896470588235294,0.31388235294117645,0.37146417008913846,0.3746860199047848,0.2996453598199972,0.04427660158629802,0.047682564362117874,0.021837950255863135,False,False,0.5291140724045357
3p2__extra_trees,a98842fb8a81f6bd,3p2,label_tp_before_sl_3p2,0.03,0.02,0.47,simple TP/SL binary-payoff breakeven at 35 bps,extra_trees,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5375775109944809,0.5349573337464324,0.5304517439556538,0.6634587707908092,0.6670826889412883,0.6445544588450453,0.2354707244777769,0.23724797135458586,0.22644501486327628,0.4051036414565826,0.40705882352941175,0.36904761904761907,0.35752010431188,0.35939708030970463,0.3219558672753604,0.4110868347338935,0.39372549019607844,0.37857142857142856,0.38354761995078485,0.3663598051677514,0.351243025877887,0.4043619047619048,0.392,0.3738095238095238,0.3830717413026974,0.37081905406767124,0.3526941507720414,0.40429187675070033,0.3967058823529412,0.3764705882352941,0.38923664332408225,0.3816974823438634,0.3616067993293953,0.05737638448302904,0.0615183164173887,0.04480095631104331,False,False,0.5375775109944809
3p2__xgb_classifier,38ca2e3958b61cfa,3p2,label_tp_before_sl_3p2,0.03,0.02,0.47,simple TP/SL binary-payoff breakeven at 35 bps,xgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5387893451442294,0.5355062029551347,0.533145908526659,0.6659514285095994,0.6669534210033721,0.6443938724500478,0.23557900290280923,0.23701066557839137,0.226381585441934,0.43105882352941177,0.4329411764705882,0.36941176470588233,0.3831462745274742,0.38487229313336047,0.32258827007008645,0.4136059757236227,0.41411764705882353,0.367843137254902,0.38606264496242637,0.3865282645342228,0.34083350564650045,0.4157803921568627,0.41223529411764703,0.37223529411764705,0.3944238583683569,0.3908790504998797,0.3512624296357596,0.41091596638655464,0.39976470588235297,0.37529411764705883,0.39583959365913635,0.38473679817112844,0.36043957766664486,0.05916729969052324,0.0610371306278123,0.05235101211107464,False,False,0.5387893451442294
3p2__lgb_classifier,104519c248079a24,3p2,label_tp_before_sl_3p2,0.03,0.02,0.47,simple TP/SL binary-payoff breakeven at 35 bps,lgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5383378593575424,0.535862304489816,0.5324162214770441,0.6636299114965785,0.6674983638788715,0.6443381794908446,0.2354838362758232,0.2371097590541102,0.2263835243185561,0.4145490196078431,0.38333333333333336,0.3788235294117647,0.36687362981383653,0.3358852274562517,0.3317624914015852,0.41281419234360406,0.40627450980392155,0.37176470588235294,0.38528006701380363,0.3787653365752419,0.3446958345720106,0.41311260504201686,0.3915294117647059,0.37285714285714283,0.39178834344976343,0.37035299284896733,0.3517526547821001,0.41204089635854346,0.396,0.3773809523809524,0.39696248192824346,0.3809961887194894,0.3624218153686334,0.058313814724324085,0.06045271643270623,0.0502267978690749,False,False,0.5383378593575424
3p2__xgb_lambdamart,a34629c07649ef54,3p2,label_tp_before_sl_3p2,0.03,0.02,0.47,simple TP/SL binary-payoff breakeven at 35 bps,xgb_ranker,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5311531614336481,0.529304040094842,0.5191116441112583,0.6660613178421878,0.67047780382963,0.6475374718988312,0.2365521570025113,0.2387779440657984,0.22749464272997777,0.4225714285714286,0.4329411764705882,0.39285714285714285,0.3746256660449804,0.38487229313336047,0.34519559719517084,0.4068552754435107,0.41568627450980394,0.38015873015873014,0.37933441849734184,0.3880817170177157,0.35280809277648,0.4031406162464986,0.40188235294117647,0.37476190476190474,0.3818596725830513,0.38061108859818454,0.3536357341490354,0.4025490196078431,0.4007058823529412,0.37176470588235294,0.3875054204007406,0.3856720952068628,0.356938474459474,0.05154648164327018,0.05248798053585049,0.04453776961990213,False,False,0.5311531614336481
3p2__lgb_lambdarank,ef1d88ee7efc365f,3p2,label_tp_before_sl_3p2,0.03,0.02,0.47,simple TP/SL binary-payoff breakeven at 35 bps,lgb_ranker,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5325598923454848,0.530006266468293,0.5222667333780773,0.6651938803781544,0.6700108238894426,0.6457541432469627,0.23618365403123365,0.23847208890335256,0.2270106592978316,0.4122016806722689,0.38571428571428573,0.3458823529411765,0.3647015257580296,0.3382110251234184,0.29973703252429174,0.4090681605975724,0.4023529411764706,0.36549019607843136,0.3815564691261978,0.3748865951720728,0.33851702930184413,0.4091899159663865,0.4042352941176471,0.3736470588235294,0.3878684107468086,0.382943854419092,0.3526581010877358,0.408740056022409,0.4002352941176471,0.3731764705882353,0.39366160582242754,0.3852044394682281,0.3583388144426657,0.05482503268714238,0.057652276711678635,0.04576551411255224,False,False,0.5325598923454848
5p3__hgb_base,90d12835cd93ab7f,5p3,label_tp_before_sl_5p3,0.05,0.03,0.41875,simple TP/SL binary-payoff breakeven at 35 bps,hgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5983815141787201,0.6012116212227737,0.5624728270375443,0.5909992933400104,0.5933826366303124,0.5507219169629891,0.20172440844741288,0.2028685586224065,0.18433209524662905,0.3971204481792717,0.40941176470588236,0.31529411764705884,0.3498413131719257,0.36170740341789775,0.27021810477215435,0.3848515406162465,0.37333333333333335,0.3176470588235294,0.3576934220102955,0.34624130104508255,0.2915704053124857,0.3786173669467787,0.3755294117647059,0.32941176470588235,0.3576080470834996,0.35451929329868,0.3090203176416673,0.37627899159663863,0.3696470588235294,0.3296470588235294,0.361433461507415,0.35483821851538455,0.3152255103896541,0.13320620944013228,0.14245700375455345,0.09241382896072788,False,False,0.5983815141787201
5p3__hgb_shallow,79846ced8870ff3d,5p3,label_tp_before_sl_5p3,0.05,0.03,0.41875,simple TP/SL binary-payoff breakeven at 35 bps,hgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5997758306574872,0.6018448124038209,0.5622564455186649,0.5901878333069022,0.5929723839964153,0.5502530887482099,0.2014906733484847,0.20263512978309214,0.18417852991363065,0.39659383753501404,0.4258823529411765,0.32941176470588235,0.3493057729262334,0.37791112878291666,0.283815102910709,0.3868384687208216,0.4015686274509804,0.3396825396825397,0.3596153969764778,0.374111065763933,0.3129981222620491,0.3774588235294118,0.38494117647058823,0.33788235294117647,0.3564591873684821,0.36383031092685225,0.31736124215770517,0.3764985994397759,0.376,0.33858823529411763,0.3616445098166562,0.3611398994540651,0.32407021429093086,0.13546014282230492,0.14485713297615965,0.09387113641045394,False,False,0.5997758306574872
5p3__logistic,e300dd57028ed347,5p3,label_tp_before_sl_5p3,0.05,0.03,0.41875,simple TP/SL binary-payoff breakeven at 35 bps,logistic,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5978936935888436,0.5993786055096261,0.5633171263839886,0.5900860660220024,0.5963383702614697,0.5501676557512101,0.2014536850022109,0.20375848663763355,0.18421563561346985,0.34048739495798325,0.35294117647058826,0.27058823529411763,0.2947026209765289,0.30657955924029284,0.2274883248572479,0.34288141923436044,0.3396078431372549,0.2901960784313726,0.3163412975506643,0.31308227391059795,0.26477524001355357,0.3401422969187675,0.32988235294117646,0.2847058823529412,0.3196381895014316,0.30948350701492017,0.2651268567012087,0.34135126050420167,0.33788235294117647,0.29858823529411765,0.3268117543398324,0.32337173634870353,0.2845485168106634,0.1323611788245072,0.13951332423103469,0.08976419205643996,False,False,0.5978936935888436
5p3__extra_trees,8e07dc230b02a198,5p3,label_tp_before_sl_5p3,0.05,0.03,0.41875,simple TP/SL binary-payoff breakeven at 35 bps,extra_trees,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5999474503205612,0.6015159870913778,0.5612193935279721,0.5903874180323135,0.5946453131738355,0.550393766212117,0.20161118170300169,0.20332841966676476,0.18420975186839594,0.37924929971988797,0.3835294117647059,0.31058823529411766,0.332267993709356,0.3363566776583452,0.26569639839529363,0.3726125116713352,0.36941176470588233,0.3192156862745098,0.34557640970937153,0.34237820747350656,0.293104789628823,0.3743047619047619,0.37270588235294116,0.32376470588235295,0.35333609074686884,0.3517276322105863,0.30346385705131296,0.3675663865546218,0.3654117647058824,0.3164705882352941,0.35279305594971483,0.3506386251082154,0.302202006376834,0.13613850685596035,0.14502928743062435,0.09362580253604998,False,False,0.5999474503205612
5p3__xgb_classifier,b48023ab2a8db127,5p3,label_tp_before_sl_5p3,0.05,0.03,0.41875,simple TP/SL binary-payoff breakeven at 35 bps,xgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5998911258020316,0.6024703477329677,0.5630919705215799,0.5905348269708591,0.5932259083346498,0.5503924258317572,0.20152483685194172,0.20268172379564955,0.18421286289248312,0.4117366946778712,0.4188235294117647,0.3411764705882353,0.36412978136973906,0.37095996049561086,0.2951815771115546,0.38449486461251164,0.3952941176470588,0.3380392156862745,0.3572999769744781,0.36790946883730513,0.3115435657676531,0.37888627450980394,0.38023529411764706,0.33458823529411763,0.35787030601328973,0.35917375223900677,0.3141166677241779,0.3745607843137255,0.37976470588235295,0.33247058823529413,0.3597258506264706,0.36487551599253676,0.31801794276383977,0.13556717188193637,0.14481029763706832,0.09456036043097328,False,False,0.5998911258020316
5p3__lgb_classifier,88eaba03782dd4f2,5p3,label_tp_before_sl_5p3,0.05,0.03,0.41875,simple TP/SL binary-payoff breakeven at 35 bps,lgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5996755542458937,0.6022579714770981,0.5626862301779061,0.5901722381724188,0.5932171040766554,0.5503535677524392,0.20152250558745805,0.20271204493129633,0.1842248366008844,0.3923809523809524,0.42823529411764705,0.28,0.34540909036393763,0.38023040936721464,0.2364407097772946,0.3758954248366013,0.37176470588235294,0.31450980392156863,0.34883339531620494,0.3446958345720106,0.28850266238901595,0.37331764705882353,0.37741176470588234,0.3270588235294118,0.35236863185253103,0.35638082393343784,0.30670471831638413,0.36970588235294116,0.3668235294117647,0.3247058823529412,0.35491541905630986,0.3520383531254287,0.3103401724503469,0.135052336646813,0.14447222851891084,0.09389261266743289,False,False,0.5996755542458937
5p3__xgb_lambdamart,05110239a1941f2a,5p3,label_tp_before_sl_5p3,0.05,0.03,0.41875,simple TP/SL binary-payoff breakeven at 35 bps,xgb_ranker,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5962526789645114,0.6029393868269575,0.560175789849756,0.5910185133457051,0.5933819340689467,0.5511843216143539,0.2018222914640333,0.20279026237158843,0.18446066794493265,0.4004257703081232,0.40941176470588236,0.3176470588235294,0.3530830470984272,0.36170740341789775,0.2724809700510323,0.3863958916900094,0.4054901960784314,0.3192156862745098,0.3592084432794352,0.37798944260781486,0.293104789628823,0.3760851540616247,0.3952941176470588,0.31576470588235295,0.35510618785327575,0.37408205989067583,0.2955979956824974,0.3686941176470588,0.36423529411764705,0.32094117647058823,0.3539094972386314,0.3494722896526162,0.306619233200659,0.12998161016469084,0.1442444243265723,0.08995834771171639,False,False,0.5962526789645114
5p3__lgb_lambdarank,4d3da77d579c15e2,5p3,label_tp_before_sl_5p3,0.05,0.03,0.41875,simple TP/SL binary-payoff breakeven at 35 bps,lgb_ranker,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5986965228295682,0.6028078319790016,0.5604043221768223,0.5907126879030822,0.5934400721957401,0.5503657169316076,0.20156980209207748,0.20262555624420872,0.1841849880743841,0.3937647058823529,0.3835294117647059,0.3411764705882353,0.34652812544709805,0.3363566776583452,0.2951815771115546,0.376999066293184,0.38666666666666666,0.3247058823529412,0.3498868212575664,0.35938998378194076,0.29847780445885375,0.37514061624649864,0.39294117647058824,0.3261176470588235,0.3541535324750264,0.37175123842312036,0.30577864124886134,0.3717585434173669,0.38423529411764706,0.3256470588235294,0.3569409164059098,0.36931279526139654,0.3112705730579594,0.13354145945970147,0.14584981209287387,0.09048374904631926,False,False,0.5986965228295682
